中央频道,#genre#
CCTV-1HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225710/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225587/index.m3u8
CCTV-2HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV-3HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225606/index.m3u8
CCTV-4HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225590/index.m3u8
CCTV-5HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225711/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225591/index.m3u8
CCTV-5+HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225689/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-6HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225607/index.m3u8
CCTV-7HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225593/index.m3u8
CCTV-8HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225608/index.m3u8
CCTV-9HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225595/index.m3u8
CCTV-10HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225596/index.m3u8
CCTV-11HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-12HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225598/index.m3u8
CCTV-13HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225599/index.m3u8
CCTV-14HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225600/index.m3u8
CCTV-15HD,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16,http://ott-live.olympicchannel.com/out/u/OC1_1.m3u8
CCTV17,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8
CETV1,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225905/3.m3u8
CETV1,http://cctvalih5ca.v.myalicdn.com/cstv/cetv1_2/index.m3u8
CETV2,http://cctvalih5ca.v.myalicdn.com/cstv/cetv2_2/index.m3u8
CETV3,http://cctvalih5ca.v.myalicdn.com/cstv/cetv3_2/index.m3u8
CETV4,http://cctvalih5ca.v.myalicdn.com/cstv/cetv4_2/index.m3u8
CGTV英语,http://live.cgtn.com/1000/prog_index.m3u8
CGTV纪实,http://live.cgtn.com/1000d/prog_index.m3u8
CGTV俄语,http://live.cgtn.com/1000r/prog_index.m3u8
CGTV西语,http://live.cgtn.com/1000e/prog_index.m3u8
CGTV法语,http://live.cgtn.com/1000f/prog_index.m3u8
CGTV法语,http://live.cgtn.com/1000a/prog_index.m3u8
CNC中文,http://livecdn1.news.cn/cnccn/manifest.m3u8
CNC英语,http://117.169.120.98:8080/ysten-businessmobile/live/SD-1200K-720P-XHSEN/1.m3u8
音响频道,http://39.135.15.94:6610/PLTV/88888888/224/3221226048/1/index.m3u8?fmt=ts2hls
环球奇怪,http://by4.nty.tv189.cn/live/tm-yg1hqqg-512k.m3u8
CCTV电视指南,http://101.71.255.229:6610/zjhs/2/10007/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CCTV第一剧场,http://www.dszbdq.cn/diao/migu.php?id=623338041
CCTV娱乐,http://61.58.60.230:9319/live/224.m3u8
CCTV怀旧剧场,http://www.dszbdq.cn/diao/migu.php?id=623364608
CCTV中学生,http://www.dszbdq.cn/play/gz.php?id=cctvzxs
CCTV老故事,http://www.dszbdq.cn/diao/hubei.php?id=119
CCTV风云剧场,http://www.dszbdq.cn/diao/migu.php?id=623338051
CCTV风云足球,http://www.dszbdq.cn/diao/migu.php?id=621984939
CCTV风云音乐,http://www.dszbdq.cn/diao/migu.php?id=623338072
CCTV兵器科技,http://www.dszbdq.cn/diao/migu.php?id=623338073
CCTV央视台球,http://www.dszbdq.cn/diao/migu.php?id=621984950
CCTV卫生健康,http://www.dszbdq.cn/play/gz.php?id=wsjk
CCTV发现之旅,http://www.dszbdq.cn/diao/hubei.php?id=120
CCTV世界地理,http://www.dszbdq.cn/diao/migu.php?id=623338083
CCTV央视文化精品,http://www.dszbdq.cn/diao/migu.php?id=623338084
CCTV女性时尚,http://www.dszbdq.cn/diao/migu.php?id=623338081
CCTV新科动漫,http://cctvtxyh5ca.liveplay.myqcloud.com/live/xinkedongman_2/index.m3u8
CCTV高尔夫 网球,http://www.dszbdq.cn/diao/migu.php?id=621984921
CCTV国学频道,http://www.dszbdq.cn/play/gz.php?id=gxpd
CCTV书画频道,http://www.dszbdq.cn/play/gz.php?id=shpd
中国电影,http://61.58.60.230:9319/live/225.m3u8
CETV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CETV1,http://keonline.shanghai.liveplay.qq.com:80/live/program/live/zgjy1ott/4000000/mnf.m3u8
CETV1,http://cctvalih5ca.v.myalicdn.com/cstv/cetv1_2/index.m3u8
CETV2,http://cctvalih5ca.v.myalicdn.com/cstv/cetv2_2/index.m3u8
CETV3,http://cctvalih5ca.v.myalicdn.com/cstv/cetv3_2/index.m3u8
CETV4,http://cctvalih5ca.v.myalicdn.com/cstv/cetv4_2/index.m3u8
CGTVdocumentary,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225866/1.m3u8


卫视频道,#genre#
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225701/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225651/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225618/index.m3u8
上海东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225700/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225647/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225648/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8#http://liveplay-kk.rtxapp.com/live/program/live/hnwshd/2300000/mnf.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225643/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225644/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225699/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225736/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225641/index.m3u8
广东深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225645/index.m3u8
广东南方卫视(省内),http://www.dszbdq.cn/play/gd.php?id=7
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225622/index.m3u8#http://liveplay-kk.rtxapp.com/live/program/live/gxws/1300000/mnf.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225727/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225631/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225626/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225737/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225650/index.m3u8
山东教育卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225655/index.m3u8#http://112.17.40.140/PLTV/88888888/224/3221226652/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225655/index.m3u8#http://cctvalih5ca.v.myalicdn.com/cstv/sdetv_2/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225640/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225658/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
新疆兵团卫视,http://v.btzx.com.cn:1935/live/weishi.stream/playlist.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225639/index.m3u8
海南三沙卫视,http://hnsy.chinashadt.com:1935/live/syzb.stream/chunklist_w686138769.m3u8
福建东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225620/index.m3u8
福建东南卫视,http://www.dszbdq.cn/play/fjtv1.php?id=5#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225876/1.m3u8
福建海峡卫视,http://www.dszbdq.cn/play/fjtv1.php?id=3#http://live1.nty.tv189.com:80/tm-haixiatv-800k.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225619/index.m3u8#http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/liaoning_2_hd.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225705/index.m3u8#http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/hubei_2/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225637/index.m3u8#http://stream4.jlntv.cn/test2/sd/live.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225623/index.m3u8#http://cctvalih5ca.v.myalicdn.com/wstv/hebei_2/index.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
青海安多卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8#http://111.40.205.87/PLTV/88888888/224/3221225659/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225615/index.m3u8#http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/jiangxi_2/index.m3u8
河南卫视,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225882/1.m3u8#http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/henan_2/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225621/index.m3u8#http://liveplay-kk.rtxapp.com:80/live/program/live/scws/1300000/mnf.m3u8
四川康巴卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8#http://scgctvshow.sctv.com/sdlive/kangba/1.m3u8#http://stream.kangbatv.com:80/test/sd/live.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8#http://liveplay-kk.rtxapp.com:80/live/program/live/gsws/1300000/mnf.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8#http://liveplay-kk.rtxapp.com:80/live/program/live/shanxiws/1300000/mnf.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225625/index.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_chan_hls_se_idx=011&Provider_id=&Pcontent_id=index.m3u8
陕西农林卫视,http://183.207.248.36:80/PLTV/4/224/3221227015/index.m3u8
云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225636/index.m3u8#http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/yunnan_2/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8#http://cctvalih5ca.v.myalicdn.com/wstv/xizang_2/index.m3u8
西藏藏语卫视,http://media.vtibet.com/masvod/HLSLive/7/zangyuTV_q1.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8#http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/neimenggu_2_hd.m3u8


iHOT频道,#genre#
爱电竞,http://101.71.255.229:6610/zjhs/2/10110/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱动漫,http://101.71.255.229:6610/zjhs/2/10107/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱都市,http://101.71.255.229:6610/zjhs/2/10111/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱江湖,http://101.71.255.229:6610/zjhs/2/10114/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱解密,http://101.71.255.229:6610/zjhs/2/10109/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱经典,http://101.71.255.229:6610/zjhs/2/10106/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱军武,http://101.71.255.229:6610/zjhs/2/10119/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱科幻,http://101.71.255.229:6610/zjhs/2/10113/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱历史,http://101.71.255.229:6610/zjhs/2/10120/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱美食,http://101.71.255.229:6610/zjhs/2/10108/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱奇谈,http://101.71.255.229:6610/zjhs/2/10103/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱时尚,http://101.71.255.229:6610/zjhs/2/10118/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱世界,http://101.71.255.229:6610/zjhs/2/10121/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱玩具,http://101.71.255.229:6610/zjhs/2/10117/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱喜剧,http://101.71.255.229:6610/zjhs/2/10105/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱悬疑,http://101.71.255.229:6610/zjhs/2/10104/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱幼教,http://101.71.255.229:6610/zjhs/2/10112/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
爱院线,http://101.71.255.229:6610/zjhs/2/10116/index.m3u8?virtualDomain=zjhs.live_hls.zte.com
CIBN频道
中国交通,http://live3.nty.tv189.com:80/tm-yg1zgjt-512k.m3u8
环球奇观,http://live1.nty.tv189.com:80/tm-yg1hqqg-512k.m3u8
CBN幸福娱乐,http://live1.nty.tv189.com:80/tm-cbn1xfyl-800k.m3u8
CBN风尚生活,http://live3.nty.tv189.com:80/tm-cbn1fssh-800k.m3u8
CBN幸福剧场,http://live1.nty.tv189.com:80/tm-cbn1xfjc-800k.m3u8
CBN每日影院,http://live1.nty.tv189.com:80/tm-cbn1mryy-800k.m3u8
时尚频道,http://live3.nty.tv189.com:80/tm-imodeshishang-2000k.m3u8
快新闻,http://live1.nty.tv189.com:80/tm-kxwty-800k.m3u8
e娱乐,http://live1.nty.tv189.com:80/tm-eylty-800k.m3u8
i综艺,http://live1.nty.tv189.com:80/tm-izyty-800k.m3u8
潮体育,http://live1.nty.tv189.com:80/tm-ctyty-800k.m3u8
CRI电视剧,http://live3.nty.tv189.com:80/tm-cridsjty-800k.m3u8
冰雪体育,http://live1.nty.tv189.com:80/tm-bingxue-800k.m3u8
每日健身,http://live1.nty.tv189.com:80/tm-mrjianshen-800k.m3u8
马拉松,http://live1.nty.tv189.com:80/tm-malasong-800k.m3u8
优漫卡通,http://live1.nty.tv189.com:80/tm-jsymktty-800k.m3u8
军事,http://live1.nty.tv189.com:80/tm-yg1gzjc-512k.m3u8
文旅中国,http://live1.nty.tv189.com:80/tm-yg1lypd-512k.m3u8
喜剧影院,http://live1.nty.tv189.com:80/tm-yg1xjyy-512k.m3u8
电影,http://live3.nty.tv189.com:80/tm-yg1dypd-512k.m3u8
精品影院,http://live1.nty.tv189.com:80/tm-yg1jpyy-512k.m3u8
微电影,http://live1.nty.tv189.com:80/tm-yg1wdypd-512k.m3u8
童学世界,http://live1.nty.tv189.com:80/tm-yg1rbjc-512k.m3u8
健康,http://live1.nty.tv189.com:80/tm-yg1jkpd-512k.m3u8
综合,http://live1.nty.tv189.com:80/tm-yg1zhpd-512k.m3u8
汽车,http://live1.nty.tv189.com:80/tm-yg1qcpd-512k.m3u8
生活,http://live1.nty.tv189.com:80/tm-yg1shpd-512k.m3u8
真人秀,http://live1.nty.tv189.com:80/tm-yg1zrx-512k.m3u8
风尚运动,http://live1.nty.tv189.com:80/tm-yg1dysc-512k.m3u8
骄阳剧场,http://live1.nty.tv189.com:80/tm-yg1jyjc-512k.m3u8
流金岁月,http://live1.nty.tv189.com:80/tm-yg1scpd-512k.m3u8
经典剧场,http://live1.nty.tv189.com:80/tm-yg1jdjc-512k.m3u8
斗牛财经,http://live1.nty.tv189.com:80/tm-cibndncj-512k.m3u8
艺术院线,http://live1.nty.tv189.com:80/tm-yg1teadj-512k.m3u8
嗨播,http://live1.nty.tv189.com:80/tm-yg1yypd-512k.m3u8
情感影院,http://live1.nty.tv189.com:80/tm-yg1qgyy-512k.m3u8
动作影院,http://live1.nty.tv189.com:80/tm-yg1dzyy-512k.m3u8


Newtv频道,#genre#
Newtv-超级体育,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226157/1.m3u8
Newtv-超级综艺,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226127/1.m3u8
Newtv-精品记录,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226293/1.m3u8
Newtv-精品体育,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225922/1.m3u8
Newtv-潮妈辣婆,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225957/1.m3u8
Newtv-搏击,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226320/1.m3u8
Newtv-爱情喜剧,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225913/1.m3u8
Newtv-海外剧场,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225917/1.m3u8
Newtv-惊悚悬疑,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225921/1.m3u8
Newtv-超级电视剧,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225864/1.m3u8
Newtv-超级电影,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226133/1.m3u8
Newtv-中国功夫,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226321/1.m3u8
Newtv-农业致富,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226304/1.m3u8
Newtv-明星大片,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225929/1.m3u8
Newtv-金牌综艺,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225920/1.m3u8
Newtv-炫舞未来,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226248/1.m3u8
Newtv动作电影,http://112.50.243.8/PLTV/88888888/224/3221225879/1.m3u8
Newtv惊悚悬疑,http://112.50.243.8/PLTV/88888888/224/3221225885/1.m3u8
Newtv明星大片,http://112.50.243.8/PLTV/88888888/224/3221225893/1.m3u8
Newtv家庭剧场,http://112.50.243.8/PLTV/88888888/224/3221225882/1.m3u8
Newtv精品大剧,http://112.50.243.8/PLTV/88888888/224/3221225889/1.m3u8
Newtv古装剧场,http://112.50.243.8/PLTV/88888888/224/3221225880/1.m3u8
Newtv爱情喜剧,http://112.50.243.8/PLTV/88888888/224/3221225877/1.m3u8
Newtv军旅剧场,http://112.50.243.8/PLTV/88888888/224/3221225887/1.m3u8
